Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Sint-kruis,8310,House,house,850000,for-sale,4,279,1,0,0,0,,1,490.0,0,490,3.0,2012.0,A,69.0,As new,https://www.immoweb.be/en/classified/house/for-sale/sint-kruis/8310/20242109
Keerbergen,3140,House,house,1199000,for-sale,4,478,1,0,0,0,,0,,0,2980,4.0,1997.0,C,212.0,,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20308786
Knokke-heist,8300,House,house,965000,for-sale,4,265,0,0,0,0,,0,,0,,,2025.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20194965
Ixelles,1050,Apartment,apartment,895000,for-sale,3,223,1,0,0,1,13.0,0,,0,,2.0,,C,105.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20250563
Wanze,4520,Apartment,apartment,200000,for-sale,2,80,0,0,0,1,4.0,0,,0,,,2002.0,B,161.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wanze/4520/20276001
Anderlecht,1070,Apartment,apartment,330000,for-sale,2,76,1,0,0,0,,0,,0,,,,C,115.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20302074
Tienen,3300,Apartment,ground-floor,265000,for-sale,2,85,0,0,0,0,,0,,0,,,2004.0,B,200.0,As new,https://www.immoweb.be/en/classified/ground-floor/for-sale/tienen/3300/20308125
Bruxelles,1120,Apartment,apartment,207000,for-sale,1,75,1,0,0,0,,0,,0,,2.0,1970.0,C,102.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1120/20245238
Arlon,6700,House,house,515000,for-sale,4,250,1,0,1,1,38.0,0,,0,260,2.0,1920.0,C,194.0,As new,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/20188294
Grez-doiceau,1390,House,house,2590000,for-sale,4,430,1,0,0,1,150.0,0,,1,5968,,2015.0,B,121.0,Good,https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20308287
Etterbeek,1040,House,house,540000,for-sale,4,250,1,0,0,0,,0,,0,240,2.0,1920.0,G,,To renovate,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20138395
Geraardsbergen,9500,House,apartment-block,1095000,for-sale,16,700,0,0,0,0,,0,,0,1335,4.0,1981.0,B,170.0,As new,https://www.immoweb.be/en/classified/apartment-block/for-sale/geraardsbergen/9500/20122627
Meise-wolvertem,1861,House,house,1000000,for-sale,3,400,0,0,0,0,,0,,0,800,3.0,1994.0,D,367.0,As new,https://www.immoweb.be/en/classified/house/for-sale/meise-wolvertem/1861/7562151
Lier,2500,Apartment,duplex,349000,for-sale,3,133,1,0,0,0,,0,,0,,,1999.0,B,164.0,,https://www.immoweb.be/en/classified/duplex/for-sale/lier/2500/20302794
Woluwe-saint-pierre,1150,Apartment,apartment,215000,for-sale,2,78,0,0,0,1,13.0,0,,0,,2.0,1962.0,C,120.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20192930
